# IFRA Standards Library - 51st Amendment (2024)
# 300+ fragrance ingredients with IFRA restrictions
# P = Prohibited, 100 = No restriction
Name,CAS,Amendment,Type,Risk,Cat 1,Cat 2,Cat 3,Cat 4,Cat 5A,Cat 6,Cat 9,Cat 10A,Cat 11A,Cat 12
Galaxolide,1222-05-5,51st,Spec,Env,100,100,100,100,100,100,100,100,100,100
Cashmeran,33704-61-9,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Iso E Super,54464-57-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ambroxan,3738-00-9,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Hedione,24851-98-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Javanol,198404-98-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Habanolide,34902-57-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ethylene brassylate,105-95-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Muscenone,63314-79-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Helvetolide,141773-73-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Vanillin,121-33-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ethyl vanillin,121-32-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Heliotropin,120-57-0,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Acetyl cedrene,32388-55-9,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Sandalore,65113-99-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Bacdanol,28219-61-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Polysantol,107898-54-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Calone,28940-11-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Floralozone,67634-15-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Damascone alpha,43052-87-5,51st,Rest,Sens,0.02,0.06,0.1,0.2,0.4,0.02,0.2,100,100,100
Damascone beta,23726-91-2,51st,Rest,Sens,0.02,0.06,0.1,0.2,0.4,0.02,0.2,100,100,100
Damascone delta,57378-68-4,51st,Rest,Sens,0.02,0.06,0.1,0.2,0.4,0.02,0.2,100,100,100
Damascenone,23696-85-7,51st,Rest,Sens,0.02,0.06,0.1,0.2,0.4,0.02,0.2,100,100,100
Rose oxide,16409-43-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Phenylethyl alcohol,60-12-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Phenylacetaldehyde,122-78-1,51st,Rest,Sens,0.1,0.3,0.5,1,2,0.1,1,100,100,100
Methyl salicylate,119-36-8,51st,Rest,Syst,0.5,0.5,0.5,4.3,7.5,0.5,4.3,100,100,100
Eucalyptol,470-82-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Menthol,89-78-1,51st,Rest,Sens,6.5,6.5,6.5,19,21,6.5,19,100,100,100
Camphor,76-22-2,51st,Rest,Syst,1.8,1.8,1.8,2,11,1.8,2,100,100,100
Borneol,507-70-0,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Terpineol,98-55-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Pinene alpha,80-56-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Pinene beta,127-91-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Myrcene,123-35-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ocimene,13877-91-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Terpinolene,586-62-9,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Caryophyllene,87-44-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Humulene,6753-98-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cedrene,469-61-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cedrol,77-53-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Santalol,11031-45-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Patchoulol,5986-55-0,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Vetiverol,89-88-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Nerolidol,7212-44-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Bisabolol,515-69-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Sclareol,515-03-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ambrettolide,123-69-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Exaltolide,106-02-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cosmone,63314-79-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Musk R1,83-66-9,51st,Prohib,Photo,P,P,P,P,P,P,P,P,P,P
Nitro musks mix,51st,Rest,Env,0.5,1.5,2.5,5,10,0.5,5,100,100,100
Benzaldehyde,100-52-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Anisaldehyde,123-11-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cuminaldehyde,122-03-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Citronellal,106-23-0,51st,Rest,Sens,0.6,1.8,3,6.4,12.8,0.6,6.4,100,100,100
Decanal,112-31-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Undecanal,112-44-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Dodecanal,112-54-9,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Tridecanal,10486-19-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Tetradecanal,124-25-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Aldehyde C-16,77-83-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Aldehyde C-18,104-61-0,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Methyl octine carbonate,111-80-8,51st,Rest,Sens,0.01,0.02,0.04,0.08,0.16,0.01,0.08,100,100,100
Helional,1205-17-0,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Triplal,68039-49-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Melonal,106-72-9,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Adoxal,1333-06-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ligustral,68039-49-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cyclamen aldehyde,103-95-7,51st,Rest,Sens,0.3,0.9,1.5,3.2,6.4,0.3,3.2,100,100,100
Bourgeonal,18127-01-0,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Florhydral,125109-85-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Lysmeral,31906-04-4,51st,Prohib,Sens,P,P,P,P,P,P,P,P,P,P
Majantol,103694-68-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Muguet aldehyde,80-54-6,51st,Prohib,Repro,P,P,P,P,P,P,P,P,P,P
Silvial,68039-49-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ionone alpha,127-41-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ionone beta,14901-07-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ionone gamma,79-76-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Methylionone,1335-46-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Iraldeine gamma,52475-89-5,51st,Rest,Sens,0.2,0.6,1,2.2,4.4,0.2,2.2,100,100,100
Iralia total,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Acetyl methyl ionone,127-51-5,51st,Rest,Sens,1.3,3.8,6.2,13.2,26.8,1.3,13.2,100,100,100
Irone alpha,79-69-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Orris root,8002-73-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Isojasmone,11050-62-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Jasmone cis,488-10-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Methyl jasmonate,1211-29-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Hedione HC,24851-98-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Paradisone,31983-31-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Nectaryl,59-69-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Frutonile,53398-83-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Allyl amyl glycolate,67634-00-8,51st,Rest,Sens,0.1,0.3,0.5,1.1,2.2,0.1,1.1,100,100,100
Allyl cyclohexyl propionate,2705-87-5,51st,Rest,Sens,0.25,0.75,1.2,2.6,5.2,0.25,2.6,100,100,100
Allyl heptanoate,142-19-8,51st,Rest,Sens,0.1,0.3,0.5,1,2,0.1,1,100,100,100
Linalyl acetate,115-95-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Geranyl acetate,105-87-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Citronellyl acetate,150-84-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Neryl acetate,141-12-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Benzyl acetate,140-11-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Phenylethyl acetate,103-45-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Styralyl acetate,93-92-5,51st,Rest,Sens,0.2,0.6,1,2.2,4.4,0.2,2.2,100,100,100
Terpinyl acetate,8007-35-0,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Bornyl acetate,76-49-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Isobornyl acetate,125-12-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cedryl acetate,77-54-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Vetiveryl acetate,62563-80-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Guaiyl acetate,134-28-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Sandal acetate,5413-60-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Methyl benzoate,93-58-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ethyl benzoate,93-89-0,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Benzyl formate,104-57-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Methyl cinnamate,103-26-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ethyl cinnamate,103-36-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Isoamyl cinnamate,7779-65-9,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Phenylethyl cinnamate,103-53-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cinnamyl acetate,103-54-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Hexyl salicylate,6259-76-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Isoamyl salicylate,87-20-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cis-3-hexenyl salicylate,65405-77-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Methyl anthranilate,134-20-3,51st,Rest,Photo,0.1,0.1,0.1,0.4,0.5,0.1,0.4,100,100,100
Methyl N-methyl anthranilate,85-91-6,51st,Rest,Photo,0.1,0.1,0.1,0.4,0.5,0.1,0.4,100,100,100
Dimethyl anthranilate,85-91-6,51st,Rest,Photo,0.1,0.1,0.1,0.4,0.5,0.1,0.4,100,100,100
Indole,120-72-9,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Skatole,83-34-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Gamma-decalactone,706-14-9,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Gamma-undecalactone,104-67-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Gamma-nonalactone,104-61-0,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Delta-decalactone,705-86-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Delta-undecalactone,710-04-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Jasmine lactone,25524-95-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Tuberose lactone,5698-29-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Massoia lactone,54814-64-1,51st,Rest,Sens,0.01,0.02,0.04,0.08,0.16,0.01,0.08,100,100,100
Coumarin,91-64-5,51st,Rest,Sens,0.4,0.9,1.2,2.7,5.9,0.4,2.7,100,100,100
Dihydrocoumarin,119-84-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
7-Methylcoumarin,2445-83-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Maltol,118-71-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ethyl maltol,4940-11-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Furaneol,3658-77-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Raspberry ketone,5471-51-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Zingerone,122-48-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Anethole,104-46-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Estragole,140-67-0,51st,Rest,Carc,0.01,0.01,0.01,0.01,0.01,0.01,0.01,100,100,100
Safrole,94-59-7,51st,Prohib,Carc,P,P,P,P,P,P,P,P,P,P
Isosafrole,120-58-1,51st,Prohib,Carc,P,P,P,P,P,P,P,P,P,P
Cinnamyl nitrile,1885-38-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Hydroxycitronellol,107-74-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Dihydrolinalool,78-69-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Tetrahydrolinalool,78-69-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Dihydromyrcenol,18479-58-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Tetrahydrogeraniol,106-21-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Nopol,128-50-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Fenchyl alcohol,1632-73-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Methyl chavicol,140-67-0,51st,Rest,Carc,0.01,0.01,0.01,0.01,0.01,0.01,0.01,100,100,100
Anisole,100-66-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Veratrole,91-16-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
4-Methylanisole,104-93-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cresyl acetate,29799-07-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Dimethoxybenzene,91-16-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
P-cresol,106-44-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
P-anisyl alcohol,105-13-5,51st,Rest,Sens,0.2,0.6,0.9,2,4,0.2,2,100,100,100
Thymol,89-83-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Carvacrol,499-75-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Carvone,99-49-0,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Pulegone,89-82-7,51st,Rest,Syst,0.5,0.5,0.5,1,1.5,0.5,1,100,100,100
Menthone,14073-97-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Isomenthone,491-07-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Fenchone,1195-79-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Verbenone,80-57-9,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Piperitone,89-81-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Pinocamphone,547-60-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Thujone alpha,546-80-5,51st,Rest,Neuro,0.1,0.1,0.1,0.5,0.5,0.1,0.5,100,100,100
Thujone beta,471-15-8,51st,Rest,Neuro,0.1,0.1,0.1,0.5,0.5,0.1,0.5,100,100,100
Sabinene,3387-41-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Thujene,2867-05-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Carene delta-3,13466-78-9,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Camphene,79-92-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Dipentene,138-86-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Para-cymene,99-87-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Gamma-terpinene,99-85-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Alpha-terpinene,99-86-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Phellandrene,99-83-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cadinene,483-76-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Guaiene,3691-12-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Selinene,473-13-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Elemene,20307-84-0,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Valencene,4630-07-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Nootkatone,4674-50-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Zingiberene,495-60-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Curcumene,644-30-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Patchoulene,560-32-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Bulnesene,3691-11-0,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Guaiol,489-86-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Eudesmol,473-15-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Globulol,489-41-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Viridiflorol,552-02-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Spathulenol,6750-60-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Caryophyllene oxide,1139-30-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Squalene,111-02-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Bisabolene,495-61-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Germacrene,23986-74-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cuparene,16982-00-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Calamenene,483-77-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cubenene,29837-12-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Copaene,3856-25-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ylangene,14912-44-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Bergamotene,17699-05-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Santalene,512-61-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cedrene alpha,469-61-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cedrene beta,546-28-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Thujopsene,470-40-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Longifolene,475-20-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Aromadendrene,109119-91-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ledene,21747-46-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Khusimene,53585-26-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Isopinocarveol,6712-78-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Myrtenol,515-00-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Carveol,99-48-9,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Perillyl alcohol,536-59-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Sobrerol,498-71-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Pinocarveol,5947-36-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Isopulegol,7786-67-6,51st,Rest,Sens,2,6,10,20,40,2,20,100,100,100
Menthyl acetate,89-48-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Isomenthyl acetate,89-48-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Rosal,67634-05-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Mayol,10115-95-0,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Timberol,70788-30-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Norlimbanol,70788-30-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Firsantol,105-87-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Sandenol,3407-42-9,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ebanol,67801-20-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Dartanol,104-67-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Isobornyl cyclohexanol,25225-08-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Trimofix,40601-76-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Fixambrene,68901-15-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Koavone,68991-97-9,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Florex,68991-97-9,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Velvione,54464-17-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Sylkolide,6707-60-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Romandolide,236391-76-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Serenolide,166698-62-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Nirvanolide,N/A,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cervolide,123-69-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Apritone,57378-68-4,51st,Rest,Sens,0.02,0.06,0.1,0.2,0.4,0.02,0.2,100,100,100
Rhubofix,67674-46-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Geosmin,19700-21-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Nonadienol,28069-72-9,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cis-3-hexenol,928-96-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Trans-2-hexenol,928-95-0,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cis-3-hexenal,6789-80-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Trans-2-hexenal,6728-26-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cis-3-hexenyl acetate,3681-71-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Trans-2-hexenyl acetate,2497-18-9,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Prenyl acetate,1191-16-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Isopentenyl acetate,1191-16-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Hexyl acetate,142-92-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Heptyl acetate,112-06-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Octyl acetate,112-14-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Decyl acetate,112-17-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
